ID;Role;Action;Benefice;Criteres_Acceptation
US-414;RH;modifier les dates (planifiées ou réelles) d'une demande;refléter les changements de calendrier ou la date de fin réelle;"- Sur une demande `APPROVED` ou `PLANNED`, un bouton ""Modifier les dates"" est visible.
- Ouvre une modale pour saisir/modifier `start_date`, `end_date`, `actual_start_date`, `actual_end_date`.
- L'action est tracée dans l'historique de la demande."
US-216;Utilisateur connecté;consulter la page de détail d'une demande;voir clairement la différence entre les dates planifiées et réelles;"- La page détail affiche un bloc ""Dates"".
- Affiche ""Dates planifiées"" (`start_date`, `end_date`).
- Si statut `COMPLETED`, affiche ""Dates réelles"" (`actual_start_date`, `actual_end_date`).
US-702;Collaborateur;voir la liste des formations à mettre en pratique;savoir sur quoi je dois travailler;"- Liste filtrée : APPROVED, PLANNED, COMPLETED."
US-703;Collaborateur;définir un plan d'action;concrétiser les acquis;"- Ajout d'actions (To-Do) liées à la formation."
US-704;Collaborateur;cocher les actions réalisées;suivre ma progression;"- Checkbox pour marquer une action comme faite."
US-705;Collaborateur;uploader des notes ou documents de synthèse;centraliser mes retours;"- Zone d'upload pour 'Notes de formation'."
US-706;Manager;voir le suivi de mise en pratique de mon collaborateur;m'assurer du ROI de la formation;"- Vue en lecture seule du plan d'action sur la demande."

; AJOUTS POUR CAMPAGNE DE RECUEIL (F-306)
US-601;RH;créer une campagne de recueil des besoins;lancer la période budgétaire;"- Formulaire : Titre, Dates, Budget Cible."
US-602;RH;clôturer une campagne;arrêter la soumission des demandes;"- Bouton 'Clôturer'. Statut passe à CLOSED."
US-603;Manager;voir la campagne active sur mon dashboard;savoir que je dois saisir mes besoins;"- Banner 'Campagne en cours' avec dates."
US-604;Manager;soumettre un besoin prévisionnel;remonter les souhaits de mon équipe;"- Formulaire simplifié lié à la campagne."
US-605;RH;voir tous les besoins d'une campagne;arbitrer globalement;"- Vue tableau filtrée par campagne."
US-606;RH;arbitrer un besoin (Valider/Refuser);construire le plan de formation;"- Actions de masse ou unitaires."
US-607;RH;ouvrir une campagne en brouillon;rendre la campagne visible aux collaborateurs;"- Bouton 'Ouvrir la campagne' si statut DRAFT. Statut passe à OPEN."

; AJOUTS POUR GESTION UTILISATEURS ETENDUE
US-509;Admin;gérer les informations étendues des collaborateurs;avoir une fiche collaborateur complète;"- Champs : Identifiant, Etablissement, Division, Département, Date de naissance, Titre, RH rattaché."
US-510;Admin;importer des utilisateurs via CSV;initialiser la base utilisateurs en masse;"- Upload fichier CSV avec colonnes correspondantes aux champs étendus."

; AJOUTS POUR UNIFICATION FORMULAIRE ET AIDE
US-801;Utilisateur;accéder à un formulaire unique pour les demandes;simplifier l'expérience utilisateur;"- Une seule route /new-request.
- Gestion automatique du contexte (Campagne ou Hors Campagne) via paramètre URL."
US-802;Utilisateur;accéder à une section Aide;trouver des guides d'utilisation;"- Lien 'Aide' dans le menu.
- Affichage des guides Collaborateur et Manager."
US-803;Collaborateur;voir une bannière de campagne active;être incité à faire une demande dans le cadre de la campagne;"- Bannière visible sur le Dashboard et le formulaire de création si une campagne est ouverte."

; AJOUTS POUR MISE EN PRATIQUE AVANCEE (BILAN A CHAUD)
US-707;Collaborateur;détailler 3 compétences clés acquises;structurer mon retour de formation;"- 3 cartes distinctes pour saisir les compétences.
- Champs : Nom, Confiance (1-10), Besoin d'aide."
US-708;Collaborateur;contextualiser l'usage de la compétence;projeter l'application concrète;"- Champ 'Terrain de jeu' pour définir le contexte d'application."
US-709;Collaborateur;définir un défi personnel;gamifier l'apprentissage;"- Champ 'Mon petit défi' pour se fixer un objectif court terme."
US-710;Collaborateur;indiquer mon ressenti émotionnel;partager mon état d'esprit;"- Sélecteur d'émotion (Anxieux, Neutre, Motivé)."
US-711;Collaborateur;partager mon bilan à chaud avec mon manager;initier l'échange post-formation;"- Bouton 'Partager avec mon Manager'.
- Envoi d'une notification/email (simulé) au manager avec le récapitulatif."

; AJOUTS POUR CONTRAT MANAGER ET SUIVI IMPACT (KIRKPATRICK)
US-901;Manager;définir des objectifs concrets lors de l'approbation;contractualiser les attentes avant la formation;"- Lors de l'approbation, après l'évaluation, une modale 'Attentes & Objectifs' s'affiche.
- Le champ est obligatoire pour valider la demande.
- Ces attentes sont enregistrées dans `manager_expectations` sur la demande.
- Flux en 2 étapes : Évaluation (score) puis Attentes (texte libre)."
US-902;Collaborateur;voir les attentes de mon manager dans mon espace de suivi;savoir sur quoi je serai évalué;"- L'onglet 'Impact & Suivi' affiche les objectifs saisis par le manager en lecture seule.
- Affichage dans un encadré distinct en haut de l'onglet.
- Visible uniquement si le manager a défini des attentes."
US-903;Manager;saisir mon bilan d'impact post-formation;évaluer l'efficacité réelle (Niveau 4);"- Dans l'onglet 'Impact & Suivi', une section 'Bilan Manager' est réservée au manager.
- Champ texte libre pour décrire les changements observés et l'atteinte des objectifs.
- Enregistré dans `manager_review_comment` sur le plan."
US-904;Manager;valider le bilan de mise en pratique;clôturer le cycle de formation;"- Bouton 'Valider le bilan de mise en pratique' accessible uniquement au manager.
- Validation obligatoire du commentaire avant de pouvoir valider.
- Enregistre la date de validation dans `manager_reviewed_at`.
- Badge 'Validé le [date]' affiché après validation."
US-905;Collaborateur;remplir l'évaluation Kirkpatrick Niveau 3;mesurer le transfert de compétences;"- Taux de mise en application (slider 0-100%).
- Zone de texte pour décrire les changements concrets observés.
- Enregistré dans `application_rate` et `behavior_changes`."
US-906;Collaborateur;remplir l'évaluation Kirkpatrick Niveau 4;mesurer l'impact sur les résultats;"- Gestion dynamique de KPIs (label, cible, valeur actuelle).
- Bouton '+ Ajouter' pour créer de nouveaux KPIs.
- Analyse ROI qualitative (zone de texte).
- Impact global ressenti (note sur 5 étoiles).
- Enregistré dans `kpis` (JSON) et `roi_qualitative`."
US-907;Collaborateur;créer un journal de bord de pratique;suivre mes essais et mises en pratique;"- Onglet 'Journal de Bord' remplace 'Plan d'Action'.
- Timeline chronologique des entrées.
- Chaque entrée : date, contenu, compétence liée, humeur (Succès/Neutre/Difficulté).
- Enregistré dans la table `PracticeLog`."
US-908;Manager;consulter le journal de bord du collaborateur;suivre la mise en pratique en temps réel;"- Accès en lecture seule au journal de bord.
- Visible dans l'onglet 'Journal de Bord' de la page de suivi."
US-416;RH;voir les opportunités d'optimisation de session;réduire les coûts de formation;"- Dashboard affichant les groupes de demandes similaires (>= 5 demandes).
- Calcul automatique de l'économie potentielle."
US-417;RH;convertir des demandes individuelles en session intra;créer une session groupée;"- Bouton 'Créer Session Intra' depuis l'opportunité.
- Pré-remplit une nouvelle demande de session avec les participants."
US-219;Collaborateur;acc�der � mon Skill Wallet (F-104);visualiser mes comp�tences acquises et t�l�charger mon passeport;"- Page d�di�e listing les formations valid�es.
- Bouton de t�l�chargement PDF.
- Affichage des comp�tences valid�es."
F-305;RH;Visualiser les certifications expirantes;G�rer la conformit� l�gale;Dashboard avec alertes rouge/orange;High;Done

US-307;RH;Visualiser les entretiens professionnels;Identifier les collaborateurs en retard et piloter la conformit�;Widget Dashboard avec indicateurs rouge/orange/vert et liste d�taill�e
US-310;Collaborateur;indiquer des p�riodes de disponibilit�s;Plus de flexibilit� dans la demande;Collab peut saisir du texte au lieu de dates fixes
US-311;Collaborateur;confirmer la soumission;�viter les erreurs de saisie;Modale de confirmation avant envoi
US-312;RH;planifier les dates r�elles;Pr�cision du planning;Le RH fixe les dates apr�s approbation
US-501;RH;Acc�der au module Entretiens Professionnels;Suivre les �ch�ances l�gales de 2 ans;Tableau de bord avec filtres et alertes retards
US-502;RH;Acc�der au module Entretiens Annuels;Piloter la performance;Visibilit� globale des EADP
US-503;RH;V�rifier le Bilan � 6 ans;�viter les sanctions l�gales (abondement CPF);V�rification automatique Entretiens + Formation non-obligatoire
US-504;RH;G�rer le registre des Habilitations;Assurer la s�curit� sur site;Suivi des dates d'�ch�ance et t�l�chargement des justificatifs
US-505;RH;Corriger affichage Bilan 6 ans;Assurer la stabilit� de l'interface;Correction syntaxique JSX effectu�e
US-601;RH;Acc�der au dossier Entretien Annuel;G�rer la performance et le d�veloppement;Formulaire d'entretien annuel avec STAR stories impl�ment�
US-602;RH;Consulter l'historique des formations;Avoir une visibilit� globale et analytique sur le pass�;Module Historique formations avec filtres et stats impl�ment�
US-701;Manager;Piloter les comp�tences �quipe (GPEC);Optimiser l'ad�quation poste/ressource;Matrice des comp�tences dynamique avec heatmap et radar chart impl�ment�e
